text,label1,label2
0,data,integer
0,data,integer
0,data,integer
0,data,integer
0,data,integer
1,data,integer
1,data,integer
1,data,integer
1,data,integer
1,data,integer
2,data,integer
2,data,integer
2,data,integer
2,data,integer
2,data,integer
3,data,integer
3,data,integer
3,data,integer
3,data,integer
3,data,integer
4,data,integer
4,data,integer
4,data,integer
4,data,integer
4,data,integer
5,data,integer
5,data,integer
5,data,integer
5,data,integer
5,data,integer
6,data,integer
6,data,integer
6,data,integer
6,data,integer
6,data,integer
7,data,integer
7,data,integer
7,data,integer
7,data,integer
7,data,integer
8,data,integer
8,data,integer
8,data,integer
8,data,integer
8,data,integer
9,data,integer
9,data,integer
9,data,integer
9,data,integer
9,data,integer
10,data,integer
10,data,integer
10,data,integer
10,data,integer
10,data,integer
12,data,integer
12,data,integer
12,data,integer
12,data,integer
12,data,integer
16,data,integer
16,data,integer
16,data,integer
16,data,integer
16,data,integer
17,data,integer
17,data,integer
17,data,integer
17,data,integer
17,data,integer
20,data,integer
20,data,integer
20,data,integer
20,data,integer
20,data,integer
21,data,integer
21,data,integer
21,data,integer
21,data,integer
21,data,integer
23,data,integer
23,data,integer
23,data,integer
23,data,integer
23,data,integer
25,data,integer
25,data,integer
25,data,integer
25,data,integer
25,data,integer
28,data,integer
28,data,integer
28,data,integer
28,data,integer
28,data,integer
30,data,integer
30,data,integer
30,data,integer
30,data,integer
30,data,integer
32,data,integer
32,data,integer
32,data,integer
32,data,integer
32,data,integer
34,data,integer
34,data,integer
34,data,integer
34,data,integer
34,data,integer
38,data,integer
38,data,integer
38,data,integer
38,data,integer
38,data,integer
40,data,integer
40,data,integer
40,data,integer
40,data,integer
40,data,integer
43,data,integer
43,data,integer
43,data,integer
43,data,integer
43,data,integer
45,data,integer
45,data,integer
45,data,integer
45,data,integer
45,data,integer
47,data,integer
47,data,integer
47,data,integer
47,data,integer
47,data,integer
48,data,integer
48,data,integer
48,data,integer
48,data,integer
48,data,integer
50,data,integer
50,data,integer
50,data,integer
50,data,integer
50,data,integer
56,data,integer
56,data,integer
56,data,integer
56,data,integer
56,data,integer
60,data,integer
60,data,integer
60,data,integer
60,data,integer
60,data,integer
70,data,integer
70,data,integer
70,data,integer
70,data,integer
70,data,integer
78,data,integer
78,data,integer
78,data,integer
78,data,integer
78,data,integer
80,data,integer
80,data,integer
80,data,integer
80,data,integer
80,data,integer
90,data,integer
90,data,integer
90,data,integer
90,data,integer
90,data,integer
92,data,integer
92,data,integer
92,data,integer
92,data,integer
92,data,integer
93,data,integer
93,data,integer
93,data,integer
93,data,integer
93,data,integer
99,data,integer
99,data,integer
99,data,integer
99,data,integer
99,data,integer
100,data,integer
100,data,integer
100,data,integer
100,data,integer
100,data,integer
200,data,integer
200,data,integer
200,data,integer
200,data,integer
200,data,integer
232,data,integer
232,data,integer
232,data,integer
232,data,integer
232,data,integer
243,data,integer
243,data,integer
243,data,integer
243,data,integer
243,data,integer
300,data,integer
300,data,integer
300,data,integer
300,data,integer
300,data,integer
325,data,integer
325,data,integer
325,data,integer
325,data,integer
325,data,integer
334,data,integer
334,data,integer
334,data,integer
334,data,integer
334,data,integer
342,data,integer
342,data,integer
342,data,integer
342,data,integer
342,data,integer
345,data,integer
345,data,integer
345,data,integer
345,data,integer
345,data,integer
353,data,integer
353,data,integer
353,data,integer
353,data,integer
353,data,integer
384,data,integer
384,data,integer
384,data,integer
384,data,integer
384,data,integer
454,data,integer
454,data,integer
454,data,integer
454,data,integer
454,data,integer
456,data,integer
456,data,integer
456,data,integer
456,data,integer
456,data,integer
464,data,integer
464,data,integer
464,data,integer
464,data,integer
464,data,integer
465,data,integer
465,data,integer
465,data,integer
465,data,integer
465,data,integer
473,data,integer
473,data,integer
473,data,integer
473,data,integer
473,data,integer
484,data,integer
484,data,integer
484,data,integer
484,data,integer
484,data,integer
489,data,integer
489,data,integer
489,data,integer
489,data,integer
489,data,integer
546,data,integer
546,data,integer
546,data,integer
546,data,integer
546,data,integer
687,data,integer
687,data,integer
687,data,integer
687,data,integer
687,data,integer
854,data,integer
854,data,integer
854,data,integer
854,data,integer
854,data,integer
923,data,integer
923,data,integer
923,data,integer
923,data,integer
923,data,integer
956,data,integer
956,data,integer
956,data,integer
956,data,integer
956,data,integer
2736,data,integer
2736,data,integer
2736,data,integer
2736,data,integer
2736,data,integer
3211,data,integer
3211,data,integer
3211,data,integer
3211,data,integer
3211,data,integer
3212,data,integer
3212,data,integer
3212,data,integer
3212,data,integer
3212,data,integer
4084,data,integer
4084,data,integer
4084,data,integer
4084,data,integer
4084,data,integer
4300,data,integer
4300,data,integer
4300,data,integer
4300,data,integer
4300,data,integer
4322,data,integer
4322,data,integer
4322,data,integer
4322,data,integer
4322,data,integer
4356,data,integer
4356,data,integer
4356,data,integer
4356,data,integer
4356,data,integer
4654,data,integer
4654,data,integer
4654,data,integer
4654,data,integer
4654,data,integer
9932,data,integer
9932,data,integer
9932,data,integer
9932,data,integer
